block_num,builder_id,total_gas_fee,total_mev,included_txs
925,builder_13,119489005,700990,
926,builder_13,3899999,0,
927,builder_11,151500010,5765790,
928,builder_11,18023997,186700,
929,builder_13,185100007,5882400,
930,builder_13,27341999,53600,
931,builder_13,27374998,0,
932,builder_13,298660002,575100,
933,builder_13,3163998,0,
934,builder_13,87330000,2468400,
935,builder_13,9720000,56200,
936,builder_13,158570006,850200,
937,builder_13,14599001,15100,
938,builder_13,37740005,21800,
939,builder_13,715299993,1554580,
940,builder_11,3500000,285000,
941,,0,0,
942,builder_13,71905995,362500,
943,builder_13,51835997,413000,
944,builder_13,37462991,73100,
945,builder_13,119489005,700990,
946,builder_13,3899999,0,
947,builder_11,151500010,5765790,
948,builder_11,18023997,186700,
949,builder_13,185100007,5882400,
950,builder_13,27341999,53600,
951,builder_13,27374998,0,
952,builder_13,298660002,575100,
953,builder_13,3163998,0,
954,builder_13,87330000,2468400,
955,builder_13,9720000,56200,
956,builder_13,158570006,850200,
957,builder_13,14599001,15100,
958,builder_13,37740005,21800,
959,builder_13,715299993,1554580,
960,builder_11,3500000,285000,
961,,0,0,
962,builder_13,71905995,362500,
963,builder_13,51835997,413000,
964,builder_13,37462991,73100,
965,builder_13,119489005,700990,
966,builder_13,3899999,0,
967,builder_11,151500010,5765790,
968,builder_11,18023997,186700,
969,builder_13,185100007,5882400,
970,builder_13,27341999,53600,
971,builder_13,27374998,0,
972,builder_13,298660002,575100,
973,builder_13,3163998,0,
974,builder_13,87330000,2468400,
975,builder_13,9720000,56200,
976,builder_13,158570006,850200,
977,builder_13,14599001,15100,
978,builder_13,37740005,21800,
979,builder_13,715299993,1554580,
980,builder_11,3500000,285000,
981,,0,0,
982,builder_13,71905995,362500,
983,builder_13,51835997,413000,
984,builder_13,37462991,73100,
985,builder_13,119489005,700990,
986,builder_13,3899999,0,
987,builder_11,151500010,5765790,
