transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created,builder_type
50974,0,0,0,158,50541,unknown,29,7,attack
50975,0,0,0,158,50541,unknown,29,7,attack
50977,0,0,0,155,50541,unknown,30,7,attack
50978,0,0,0,155,50541,unknown,30,7,attack
50980,0,0,0,151,50541,unknown,30,7,attack
50981,0,0,0,151,50541,unknown,30,7,attack
50983,0,0,0,155,50541,unknown,30,7,attack
50984,0,0,0,155,50541,unknown,30,7,attack
50986,0,0,0,154,50541,unknown,30,7,attack
50987,0,0,0,154,50541,unknown,30,7,attack
50989,0,0,0,154,50541,unknown,30,7,attack
50990,0,0,0,154,50541,unknown,30,7,attack
50992,0,0,0,151,50541,unknown,31,7,attack
50993,0,0,0,151,50541,unknown,31,7,attack
50995,0,0,0,151,50541,unknown,31,8,attack
50996,0,0,0,151,50541,unknown,31,8,attack
50998,0,0,0,153,50541,unknown,31,8,attack
50999,0,0,0,153,50541,unknown,31,8,attack
51001,0,0,0,160,50541,unknown,31,8,attack
51002,0,0,0,160,50541,unknown,31,8,attack
51004,0,0,0,151,50541,unknown,31,8,attack
51005,0,0,0,151,50541,unknown,31,8,attack
51007,0,0,0,152,50541,unknown,32,8,attack
51008,0,0,0,152,50541,unknown,32,8,attack
51010,0,0,0,154,50541,unknown,32,8,attack
51011,0,0,0,154,50541,unknown,32,8,attack
