transaction_id,fee,mev_potential,mev_captured,creator_id,target_tx_id,type_of_user,block_number,block_created,validator_type
37785,0,0.0,0,113,36079.0,unknown,35,25,normal
37787,0,0.0,0,113,36079.0,unknown,36,25,normal
37788,0,0.0,0,113,36079.0,unknown,36,25,normal
37790,0,0.0,0,115,36079.0,unknown,36,25,normal
37791,0,0.0,0,115,36079.0,unknown,36,25,normal
37793,0,0.0,0,113,36079.0,unknown,36,25,normal
37794,0,0.0,0,113,36079.0,unknown,36,25,normal
37796,0,0.0,0,112,36079.0,unknown,36,25,normal
37797,0,0.0,0,112,36079.0,unknown,36,25,normal
37799,0,0.0,0,118,36079.0,unknown,36,25,normal
37800,0,0.0,0,118,36079.0,unknown,36,25,normal
37802,0,0.0,0,116,36079.0,unknown,37,25,attack
37803,0,0.0,0,116,36079.0,unknown,37,25,attack
37805,0,0.0,0,115,36079.0,unknown,37,25,attack
37806,0,0.0,0,115,36079.0,unknown,37,25,attack
37808,0,0.0,0,111,36079.0,unknown,37,25,attack
37809,0,0.0,0,111,36079.0,unknown,37,25,attack
37811,0,0.0,0,115,36079.0,unknown,37,25,attack
37812,0,0.0,0,115,36079.0,unknown,37,25,attack
37814,0,0.0,0,118,36079.0,unknown,37,25,attack
37815,0,0.0,0,118,36079.0,unknown,37,25,attack
37817,0,0.0,0,112,36079.0,unknown,38,25,attack
37818,0,0.0,0,112,36079.0,unknown,38,25,attack
37820,0,0.0,0,119,36079.0,unknown,38,26,attack
37821,0,0.0,0,119,36079.0,unknown,38,26,attack
37823,0,0.0,0,119,36079.0,unknown,38,26,attack
37824,0,0.0,0,119,36079.0,unknown,38,26,attack
37826,0,0.0,0,116,36079.0,unknown,38,26,attack
37827,0,0.0,0,116,36079.0,unknown,38,26,attack
37829,0,0.0,0,111,36079.0,unknown,38,26,attack
37830,0,0.0,0,111,36079.0,unknown,38,26,attack
37832,0,0.0,0,118,36079.0,unknown,39,26,normal
37833,0,0.0,0,118,36079.0,unknown,39,26,normal
37835,0,0.0,0,117,36079.0,unknown,39,26,normal
37836,0,0.0,0,117,36079.0,unknown,39,26,normal
37838,0,0.0,0,111,36079.0,unknown,39,26,normal
37839,0,0.0,0,111,36079.0,unknown,39,26,normal
37841,0,0.0,0,114,36079.0,unknown,39,26,normal
37842,0,0.0,0,114,36079.0,unknown,39,26,normal
37844,0,0.0,0,115,36079.0,unknown,39,26,normal
37845,0,0.0,0,115,36079.0,unknown,39,26,normal
37847,0,0.0,0,115,36079.0,unknown,40,26,attack
37848,0,0.0,0,115,36079.0,unknown,40,26,attack
37850,0,0.0,0,114,36079.0,unknown,40,26,attack
37851,0,0.0,0,114,36079.0,unknown,40,26,attack
37853,0,0.0,0,117,36079.0,unknown,40,26,attack
37854,0,0.0,0,117,36079.0,unknown,40,26,attack
37856,0,0.0,0,116,36079.0,unknown,40,26,attack
37857,0,0.0,0,116,36079.0,unknown,40,26,attack
37859,0,0.0,0,113,36079.0,unknown,40,26,attack
37860,0,0.0,0,113,36079.0,unknown,40,26,attack
37862,0,0.0,0,114,36079.0,unknown,41,26,attack
37863,0,0.0,0,114,36079.0,unknown,41,26,attack
37865,0,0.0,0,115,36079.0,unknown,41,26,attack
37866,0,0.0,0,115,36079.0,unknown,41,26,attack
37868,0,0.0,0,119,36079.0,unknown,41,26,attack
37869,0,0.0,0,119,36079.0,unknown,41,26,attack
37871,0,0.0,0,119,36079.0,unknown,41,26,attack
37872,0,0.0,0,119,36079.0,unknown,41,26,attack
37874,0,0.0,0,119,36079.0,unknown,41,26,attack
37875,0,0.0,0,119,36079.0,unknown,41,26,attack
37877,0,0.0,0,119,36079.0,unknown,42,26,attack
37878,0,0.0,0,119,36079.0,unknown,42,26,attack
37880,0,0.0,0,120,36079.0,unknown,42,26,attack
37881,0,0.0,0,120,36079.0,unknown,42,26,attack
37883,0,0.0,0,113,36079.0,unknown,42,26,attack
37884,0,0.0,0,113,36079.0,unknown,42,26,attack
37886,0,0.0,0,115,36079.0,unknown,42,26,attack
37887,0,0.0,0,115,36079.0,unknown,42,26,attack
37889,0,0.0,0,116,36079.0,unknown,42,26,attack
37890,0,0.0,0,116,36079.0,unknown,42,26,attack
37892,0,0.0,0,117,36079.0,unknown,43,27,normal
37893,0,0.0,0,117,36079.0,unknown,43,27,normal
37895,0,0.0,0,118,36079.0,unknown,43,27,normal
37896,0,0.0,0,118,36079.0,unknown,43,27,normal
37898,0,0.0,0,116,36079.0,unknown,43,27,normal
37899,0,0.0,0,116,36079.0,unknown,43,27,normal
37901,0,0.0,0,111,36079.0,unknown,43,27,normal
37902,0,0.0,0,111,36079.0,unknown,43,27,normal
37904,0,0.0,0,120,36079.0,unknown,43,27,normal
37905,0,0.0,0,120,36079.0,unknown,43,27,normal
37907,0,0.0,0,115,36079.0,unknown,44,27,attack
37908,0,0.0,0,115,36079.0,unknown,44,27,attack
37910,0,0.0,0,117,36079.0,unknown,44,27,attack
37911,0,0.0,0,117,36079.0,unknown,44,27,attack
37913,0,0.0,0,119,36079.0,unknown,44,27,attack
37914,0,0.0,0,119,36079.0,unknown,44,27,attack
