period,block_number,num_transactions,inversion_count,inversion_rate,max_possible_inversions
LUNA_CRASH_MAY_2022,14800999,342,4238,0.07267925434309136,58311
LUNA_CRASH_MAY_2022,14801000,135,135,0.014925373134328358,9045
USDC_DEPEG_MARCH_2023,16900000,106,967,0.17376460017969453,5565
USDC_DEPEG_MARCH_2023,16900001,8,15,0.5357142857142857,28
USDC_DEPEG_MARCH_2023,16900002,188,86,0.004892479235407896,17578
USDC_DEPEG_MARCH_2023,16900003,214,3021,0.13255232328550745,22791
USDC_DEPEG_MARCH_2023,16900004,138,613,0.06484713847455834,9453
USDC_DEPEG_MARCH_2023,16900005,133,1063,0.12109820004556847,8778
USDC_DEPEG_MARCH_2023,16900006,178,1795,0.11394654986351806,15753
USDC_DEPEG_MARCH_2023,16900007,145,2221,0.21273946360153256,10440
USDC_DEPEG_MARCH_2023,16900008,114,438,0.0680018630647415,6441
USDC_DEPEG_MARCH_2023,16900009,162,1705,0.13074150755310177,13041
USDC_DEPEG_MARCH_2023,16900010,104,997,0.18614637789395072,5356
USDC_DEPEG_MARCH_2023,16900011,151,1454,0.12838852097130243,11325
USDC_DEPEG_MARCH_2023,16900012,215,740,0.03216692023473158,23005
USDC_DEPEG_MARCH_2023,16900013,135,350,0.038695411829740185,9045
USDC_DEPEG_MARCH_2023,16900014,18,1,0.006535947712418301,153
USDC_DEPEG_MARCH_2023,16900015,306,557,0.011936140576449159,46665
USDC_DEPEG_MARCH_2023,16900016,97,362,0.07774914089347079,4656
USDC_DEPEG_MARCH_2023,16900017,127,169,0.02112235970503687,8001
USDC_DEPEG_MARCH_2023,16900018,147,25,0.002329699002888827,10731
USDC_DEPEG_MARCH_2023,16900019,132,679,0.07853342586167014,8646
USDC_DEPEG_MARCH_2023,16900020,180,167,0.01036623215394165,16110
USDC_DEPEG_MARCH_2023,16900021,126,1733,0.22006349206349207,7875
USDC_DEPEG_MARCH_2023,16900022,144,913,0.08867521367521368,10296
USDC_DEPEG_MARCH_2023,16900023,149,2369,0.21485579539270813,11026
USDC_DEPEG_MARCH_2023,16900024,186,2216,0.12879976750944494,17205
USDC_DEPEG_MARCH_2023,16900025,181,1174,0.07206875383670963,16290
USDC_DEPEG_MARCH_2023,16900026,110,841,0.14028356964136782,5995
USDC_DEPEG_MARCH_2023,16900027,140,0,0.0,9730
USDC_DEPEG_MARCH_2023,16900028,139,1245,0.12980919612136377,9591
USDC_DEPEG_MARCH_2023,16900029,112,581,0.09346846846846847,6216
USDC_DEPEG_MARCH_2023,16900030,153,322,0.027691778465772275,11628
USDC_DEPEG_MARCH_2023,16900031,177,286,0.018361581920903956,15576
USDC_DEPEG_MARCH_2023,16900032,116,1274,0.19100449775112444,6670
USDC_DEPEG_MARCH_2023,16900033,139,0,0.0,9591
USDC_DEPEG_MARCH_2023,16900034,122,203,0.027503048367429887,7381
USDC_DEPEG_MARCH_2023,16900035,128,233,0.028666338582677166,8128
USDC_DEPEG_MARCH_2023,16900036,155,367,0.0307498952660243,11935
USDC_DEPEG_MARCH_2023,16900037,146,205,0.019367028814359942,10585
USDC_DEPEG_MARCH_2023,16900038,159,1070,0.08518430061300852,12561
USDC_DEPEG_MARCH_2023,16900039,155,1053,0.08822790113112694,11935
USDC_DEPEG_MARCH_2023,16900040,119,596,0.08488819256516165,7021
USDC_DEPEG_MARCH_2023,16900041,432,0,0.0,93096
USDC_DEPEG_MARCH_2023,16900042,244,1118,0.03771166430547123,29646
USDC_DEPEG_MARCH_2023,16900043,144,319,0.030982905982905984,10296
USDC_DEPEG_MARCH_2023,16900044,112,75,0.012065637065637066,6216
USDC_DEPEG_MARCH_2023,16900045,177,0,0.0,15576
USDC_DEPEG_MARCH_2023,16900046,166,62,0.0045271997079226,13695
USDC_DEPEG_MARCH_2023,16900047,158,209,0.01685076191244054,12403
USDC_DEPEG_MARCH_2023,16900048,142,1235,0.12336429927080211,10011
USDC_DEPEG_MARCH_2023,16900049,143,2,0.00019698611247907023,10153
USDC_DEPEG_MARCH_2023,16900050,132,431,0.04984964145269489,8646
USDC_DEPEG_MARCH_2023,16900051,155,550,0.04608294930875576,11935
USDC_DEPEG_MARCH_2023,16900052,175,353,0.023185550082101807,15225
USDC_DEPEG_MARCH_2023,16900053,186,955,0.055507120023249056,17205
USDC_DEPEG_MARCH_2023,16900054,131,429,0.050381679389312976,8515
USDC_DEPEG_MARCH_2023,16900055,153,4,0.0003439972480220158,11628
USDC_DEPEG_MARCH_2023,16900056,109,19,0.0032279986408426777,5886
USDC_DEPEG_MARCH_2023,16900057,146,224,0.021162021728861596,10585
USDC_DEPEG_MARCH_2023,16900058,150,513,0.04590604026845638,11175
USDC_DEPEG_MARCH_2023,16900059,160,0,0.0,12720
USDC_DEPEG_MARCH_2023,16900060,114,722,0.11209439528023599,6441
USDC_DEPEG_MARCH_2023,16900061,224,1019,0.04079916720051249,24976
USDC_DEPEG_MARCH_2023,16900062,126,500,0.06349206349206349,7875
USDC_DEPEG_MARCH_2023,16900063,123,1074,0.14314274290283888,7503
USDC_DEPEG_MARCH_2023,16900064,142,291,0.02906802517231046,10011
USDC_DEPEG_MARCH_2023,16900065,129,1144,0.1385658914728682,8256
USDC_DEPEG_MARCH_2023,16900066,111,800,0.13104013104013104,6105
USDC_DEPEG_MARCH_2023,16900067,215,113,0.004911975657465768,23005
USDC_DEPEG_MARCH_2023,16900068,114,1151,0.17869895978885267,6441
