period,block_number,gas_fee_gwei
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1054280.16924936
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1135744.503544845
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,355443.802245
STABLE_PRE_MERGE_2022,15000001,355443.802245
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1685565.287931825
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,390988.1824695
STABLE_PRE_MERGE_2022,15000001,355443.802245
STABLE_PRE_MERGE_2022,15000001,355443.802245
STABLE_PRE_MERGE_2022,15000001,355443.802245
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,355443.802245
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,355443.802245
STABLE_PRE_MERGE_2022,15000001,1692589.5345
STABLE_PRE_MERGE_2022,15000001,355443.802245
STABLE_PRE_MERGE_2022,15000001,355443.802245
STABLE_PRE_MERGE_2022,15000001,355443.802245
STABLE_PRE_MERGE_2022,15000001,355443.802245
