period,block_number,mean_gas_fee_gwei,median_gas_fee_gwei,total_gas_fees_gwei,num_transactions
STABLE_POST_MERGE_2022,16000855,2662682.578148853,926712.598545804,410053117.0349234,154
STABLE_POST_MERGE_2022,16000856,1860872.6877766768,1194406.344332039,195391632.21655107,105
STABLE_POST_MERGE_2022,16000857,2739568.012307624,995095.52928,353404273.5876835,129
STABLE_POST_MERGE_2022,16000858,1738932.7674468185,997027.125795,187804738.8842564,108
STABLE_POST_MERGE_2022,16000859,4920941.231710895,1509483.755591372,546224476.7199093,111
STABLE_POST_MERGE_2022,16000860,1822944.6160618446,974280.08373131,207815686.23105028,114
STABLE_POST_MERGE_2022,16000861,1953632.404408589,1038133.40166,279369433.83042824,143
STABLE_POST_MERGE_2022,16000862,3548230.7055533896,797734.269745805,479011145.2497076,135
STABLE_POST_MERGE_2022,16000863,2385030.480881917,1095273.4490006105,281433596.7440662,118
STABLE_POST_MERGE_2022,16000864,1615268.851190216,945835.4646468,164757422.821402,102
STABLE_POST_MERGE_2022,16000865,1666141.9644136354,1118708.7512098271,229927591.0890817,138
STABLE_POST_MERGE_2022,16000866,3619608.0158473183,1073777.90798889,474168650.0759987,131
STABLE_POST_MERGE_2022,16000867,2119599.768452498,1022001.838099032,254351972.2142998,120
STABLE_POST_MERGE_2022,16000868,2608510.5133924447,875259.186499446,362582961.3615498,139
STABLE_POST_MERGE_2022,16000869,3613706.223491082,1440000.0,430031040.5954388,119
STABLE_POST_MERGE_2022,16000870,22448931.018695794,752265.1825160205,404080758.3365243,18
STABLE_POST_MERGE_2022,16000871,2937856.7019549594,1075614.71742,675707041.4496406,230
STABLE_POST_MERGE_2022,16000872,3390389.546446824,1566408.8206011225,311915838.2731078,92
STABLE_POST_MERGE_2022,16000873,1670869.4765237658,834054.00362663,180453903.4645667,108
STABLE_POST_MERGE_2022,16000874,4514927.908847767,1125187.4478,605000339.7856008,134
STABLE_POST_MERGE_2022,16000875,1998205.3940220631,1239372.032,217804387.94840488,109
