block_num,validator_id,validator_stake,total_gas_fee,total_mev_available,block_reward,validator_reinvestment_factor,validator_validator_count
404,validator_3,160000000000,11314000,0,11314000,True,5
405,validator_14,480000000000,30003000,1216200,31219200,True,15
406,validator_3,160000000000,28055000,340090,28395090,True,5
407,validator_0,160000000000,120000,13900,133900,True,5
408,validator_9,64000000000,1237000,84100,1321100,True,2
409,validator_4,64000000000,33782000,7190000,40972000,False,2
410,validator_7,480000000000,1273000,0,1273000,True,15
411,validator_11,320000000000,6200000,0,6200000,True,10
412,validator_4,64000000000,1800000,0,1800000,False,2
413,validator_4,64000000000,11100000,0,11100000,False,2
414,validator_19,32000000000,1900000,0,1900000,False,1
415,validator_18,32000000000,70000,33300,103300,True,1
416,validator_1,64000000000,90018000,553940,90571940,True,2
417,validator_8,320000000000,26990000,511600,27501600,False,10
418,validator_7,480000000000,24005000,4337480,28342480,True,15
419,validator_14,480000000000,78073000,305100,78378100,True,15
420,validator_15,160000000000,1870000,0,1870000,True,5
421,validator_6,160000000000,15323000,5180,15328180,True,5
422,validator_10,320000000000,1350000,0,1350000,True,10
423,validator_3,160000000000,185615000,330040,185945040,True,5
424,validator_4,64000000000,6170000,0,6170000,False,2
425,validator_4,64000000000,65775000,18600,65793600,False,2
426,validator_7,480000000000,61330000,7713800,69043800,True,15
427,validator_8,320000000000,31899000,381000,32280000,False,10
428,validator_4,64000000000,49525000,35100,49560100,False,2
429,validator_12,480000000000,4854000,146000,5000000,True,15
430,validator_5,32000000000,11160000,0,11160000,False,1
431,validator_0,160000000000,20650000,426400,21076400,True,5
432,validator_14,480000000000,19668000,198700,19866700,True,15
433,validator_0,160000000000,1810000,0,1810000,True,5
434,validator_9,64000000000,1900000,0,1900000,True,2
435,validator_2,160000000000,8040000,36800,8076800,True,5
436,validator_17,32000000000,73473000,729600,74202600,False,1
437,validator_0,160000000000,32080000,782900,32862900,True,5
438,validator_15,160000000000,42313000,20414000,62727000,True,5
439,validator_6,160000000000,22905000,1325040,24230040,True,5
440,validator_17,32000000000,4500000,15300,4515300,False,1
441,validator_19,32000000000,44670000,289100,44959100,False,1
442,validator_13,32000000000,37180000,31700,37211700,False,1
443,validator_10,320000000000,3440000,1148000,4588000,True,10
444,validator_10,320000000000,5933000,818400,6751400,True,10
445,validator_14,480000000000,5150000,0,5150000,True,15
446,validator_15,160000000000,970000,34700,1004700,True,5
447,validator_14,480000000000,48939000,0,48939000,True,15
448,validator_15,160000000000,14870000,13020,14883020,True,5
449,validator_15,160000000000,8275000,51420,8326420,True,5
450,validator_15,160000000000,14090000,87800,14177800,True,5
451,validator_18,32000000000,5415000,33300,5448300,True,1
452,validator_12,480000000000,10070000,57640,10127640,True,15
453,validator_0,160000000000,107892000,173800,108065800,True,5
454,validator_3,160000000000,11372000,6390,11378390,True,5
455,validator_16,32000000000,13320000,464900,13784900,True,1
456,validator_7,480000000000,320000,0,320000,True,15
457,validator_5,32000000000,119165000,564540,119729540,False,1
458,validator_4,64000000000,23910000,154700,24064700,False,2
459,validator_0,160000000000,540000,256000,796000,True,5
460,validator_2,160000000000,17658000,179030,17837030,True,5
461,validator_7,480000000000,5833000,121000,5954000,True,15
462,validator_2,160000000000,77000,10700,87700,True,5
463,validator_13,32000000000,2850000,16400,2866400,False,1
464,validator_19,32000000000,8847000,75000,8922000,False,1
465,validator_12,480000000000,84830000,1230400,86060400,True,15
466,validator_19,32000000000,14856000,17839300,32695300,False,1
467,validator_4,64000000000,57964000,291840,58255840,False,2
468,validator_7,480000000000,50415000,867900,51282900,True,15
469,validator_12,480000000000,7000000,7190000,14190000,True,15
